,Player,Position,EspnId,EspnHeadshot
293,Nic Dowd,C,3025616,https://a.espncdn.com/i/headshots/nhl/players/full/3025616.png
294,Andre Burakovsky,LW,3042044,https://a.espncdn.com/i/headshots/nhl/players/full/3042044.png
295,Brett Kulak,D,3068665,https://a.espncdn.com/i/headshots/nhl/players/full/3068665.png
296,Josh Anderson,RW,3069687,https://a.espncdn.com/i/headshots/nhl/players/full/3069687.png
297,Marcus Pettersson,D,3114995,https://a.espncdn.com/i/headshots/nhl/players/full/3114995.png
298,Danton Heinen,LW,3151741,https://a.espncdn.com/i/headshots/nhl/players/full/3151741.png
299,Gustav Forsling,D,3151784,https://a.espncdn.com/i/headshots/nhl/players/full/3151784.png
300,Patrik Laine,LW,4024820,https://a.espncdn.com/i/headshots/nhl/players/full/4024820.png
301,Luke Kunin,C,4024933,https://a.espncdn.com/i/headshots/nhl/players/full/4024933.png
302,Mathieu Olivier,RW,4064781,https://a.espncdn.com/i/headshots/nhl/players/full/4064781.png
303,Eetu Luostarinen,C,4233877,https://a.espncdn.com/i/headshots/nhl/players/full/4233877.png
304,Rasmus Sandin,D,4352803,https://a.espncdn.com/i/headshots/nhl/players/full/4352803.png
305,Yegor Sharangovich,C,4587843,https://a.espncdn.com/i/headshots/nhl/players/full/4587843.png
306,Jackson Blake,RW,5103645,https://a.espncdn.com/i/headshots/nhl/players/full/5103645.png
307,Alex Vlasic,D,4565266,https://a.espncdn.com/i/headshots/nhl/players/full/4565266.png
308,Matias Maccelli,LW,4587580,https://a.espncdn.com/i/headshots/nhl/players/full/4587580.png
309,Jordan Spence,D,4588190,https://a.espncdn.com/i/headshots/nhl/players/full/4588190.png
310,Emil Heineman,LW,4697447,https://a.espncdn.com/i/headshots/nhl/players/full/4697447.png
311,Zach Benson,LW,5149186,https://a.espncdn.com/i/headshots/nhl/players/full/5149186.png
312,Lars Eller,C,3946,https://a.espncdn.com/i/headshots/nhl/players/full/3946.png
313,Jared Spurgeon,D,5079,https://a.espncdn.com/i/headshots/nhl/players/full/5079.png
314,Cam Fowler,D,5495,https://a.espncdn.com/i/headshots/nhl/players/full/5495.png
