,Team,GP,TOI,W,L,OTL,ROW,Points,Point %,CF,CA,CF%,FF,FA,FF%,SF,SA,SF%,GF,GA,GF%,xGF,xGA,xGF%,SCF,SCA,SCF%,SCSF,SCSA,SCSF%,SCGF,SCGA,SCGF%,SCSH%,SCSV%,HDCF,HDCA,HDCF%,HDSF,HDSA,HDSF%,HDGF,HDGA,HDGF%,HDSH%,HDSV%,MDCF,MDCA,MDCF%,MDSF,MDSA,MDSF%,MDGF,MDGA,MDGF%,MDSH%,MDSV%,LDCF,LDCA,LDCF%,LDSF,LDSA,LDSF%,LDGF,LDGA,LDGF%,LDSH%,LDSV%,SH%,SV%,PDO
10,New York Islanders,82,4999:23,34,37,11,27,79,0.482,4405,4821,47.75,3260,3457,48.53,2410,2469,49.4,196,251,43.85,225.74,237.6,48.72,2190,2337,48.38,1390,1364,50.47,175,194,47.43,12.59,85.78,985,1010,49.37,789,740,51.6,125,136,47.89,15.84,81.62,1205,1327,47.59,601,624,49.06,50,58,46.3,8.32,90.71,1779,1984,47.28,922,991,48.2,16,49,24.62,1.74,95.06,8.13,89.83,0.98
11,St Louis Blues,82,5002:09,49,22,11,45,109,0.665,4721,4192,52.97,3578,3072,53.8,2512,2190,53.42,206,155,57.06,229.95,193.63,54.29,2132,1967,52.01,1288,1173,52.34,166,119,58.25,12.89,89.86,880,752,53.92,648,577,52.9,122,87,58.37,18.83,84.92,1252,1215,50.75,640,596,51.78,44,32,57.89,6.88,94.63,2130,1847,53.56,1129,927,54.91,35,32,52.24,3.1,96.55,8.2,92.92,1.011
12,Toronto Maple Leafs,82,4986:38,35,37,10,31,80,0.488,4616,4821,48.91,3313,3598,47.94,2322,2528,47.88,227,259,46.71,207.97,225.51,47.98,2172,2221,49.44,1256,1335,48.48,191,210,47.63,15.21,84.27,778,881,46.9,596,671,47.04,118,127,48.16,19.8,81.07,1394,1340,50.99,660,664,49.85,73,83,46.79,11.06,87.5,2130,2235,48.8,984,1105,47.1,34,44,43.59,3.46,96.02,9.78,89.75,0.995
13,Colorado Avalanche,82,5006:31,41,35,6,32,88,0.537,4683,4518,50.9,3457,3407,50.36,2584,2427,51.57,199,218,47.72,212.3,214.72,49.72,2039,2008,50.38,1279,1193,51.74,161,177,47.63,12.59,85.16,866,882,49.54,672,652,50.76,116,128,47.54,17.26,80.37,1173,1126,51.02,607,541,52.87,45,49,47.87,7.41,90.94,2213,2100,51.31,1212,1152,51.27,36,36,50.0,2.97,96.88,7.7,91.02,0.987
14,Pittsburgh Penguins,82,4995:34,51,25,6,42,108,0.659,5162,4185,55.23,3867,3120,55.35,2779,2247,55.29,273,218,55.6,247.91,201.7,55.14,2462,1966,55.6,1515,1221,55.37,223,190,54.0,14.72,84.44,908,870,51.07,711,677,51.22,139,141,49.64,19.55,79.17,1554,1096,58.64,804,544,59.64,84,49,63.16,10.45,90.99,2389,1850,56.36,1226,930,56.86,45,24,65.22,3.67,97.42,9.82,90.3,1.001
15,Detroit Red Wings,82,4999:00,48,28,6,39,102,0.622,4786,4004,54.45,3635,3032,54.52,2638,2212,54.39,239,200,54.44,222.02,196.28,53.08,2242,1939,53.62,1319,1147,53.49,189,163,53.69,14.33,85.79,933,802,53.78,690,606,53.24,124,116,51.67,17.97,80.86,1309,1137,53.52,629,541,53.76,65,47,58.04,10.33,91.31,2200,1748,55.72,1224,957,56.12,47,34,58.02,3.84,96.45,9.06,90.96,1.0
16,Washington Capitals,82,4985:40,42,32,8,38,92,0.561,4381,4739,48.04,3230,3437,48.45,2296,2475,48.12,218,226,49.1,194.23,208.34,48.25,1917,2166,46.95,1135,1247,47.65,165,182,47.55,14.54,85.4,757,835,47.55,576,612,48.48,107,126,45.92,18.58,79.41,1160,1331,46.57,559,635,46.82,58,56,50.88,10.38,91.18,2073,2189,48.64,1057,1129,48.35,48,36,57.14,4.54,96.81,9.49,90.87,1.004
17,San Jose Sharks,82,5017:01,43,29,10,34,96,0.585,5162,4588,52.94,3854,3261,54.17,2773,2343,54.2,219,205,51.65,244.28,195.79,55.51,2243,1895,54.2,1378,1150,54.51,183,159,53.51,13.28,86.17,962,766,55.67,721,580,55.42,135,107,55.79,18.72,81.55,1281,1129,53.15,657,570,53.55,48,52,48.0,7.31,90.88,2431,2203,52.46,1238,1083,53.34,31,43,41.89,2.5,96.03,7.9,91.25,0.991
18,Nashville Predators,82,4982:44,48,26,8,43,104,0.634,4026,4710,46.09,3064,3497,46.7,2261,2524,47.25,232,205,53.09,198.96,208.34,48.85,1871,2075,47.42,1183,1233,48.97,176,169,51.01,14.88,86.29,773,781,49.74,630,596,51.39,121,118,50.63,19.21,80.2,1098,1294,45.9,553,637,46.47,55,51,51.89,9.95,91.99,1813,2194,45.25,981,1198,45.02,47,34,58.02,4.79,97.16,10.26,91.88,1.021
19,Anaheim Ducks,82,4986:07,34,36,12,31,80,0.488,4407,4589,48.99,3309,3414,49.22,2292,2367,49.2,201,224,47.29,216.95,226.98,48.87,2189,2186,50.03,1290,1299,49.83,166,178,48.26,12.87,86.3,906,925,49.48,689,714,49.11,128,120,51.61,18.58,83.19,1283,1261,50.43,601,585,50.67,38,58,39.58,6.32,90.09,1944,2101,48.06,912,975,48.33,33,40,45.21,3.62,95.9,8.77,90.54,0.993
20,Minnesota Wild,82,5030:36,35,36,11,24,81,0.494,4049,5017,44.66,3012,3670,45.08,2174,2571,45.82,166,217,43.34,194.84,215.3,47.51,1825,2063,46.94,1157,1242,48.23,134,182,42.41,11.58,85.35,793,859,48.0,619,635,49.36,101,135,42.8,16.32,78.74,1032,1204,46.15,538,607,46.99,33,47,41.25,6.13,92.26,1855,2446,43.13,948,1248,43.17,29,32,47.54,3.06,97.44,7.64,91.56,0.992
21,Phoenix Coyotes,82,5011:56,42,27,13,36,97,0.591,4609,4721,49.4,3442,3650,48.53,2429,2593,48.37,210,194,51.98,210.45,227.7,48.03,2089,2156,49.21,1237,1341,47.98,174,163,51.63,14.07,87.84,881,956,47.96,656,724,47.54,123,114,51.9,18.75,84.25,1208,1200,50.17,581,617,48.5,51,49,51.0,8.78,92.06,2049,2192,48.31,1034,1146,47.43,32,29,52.46,3.09,97.47,8.65,92.52,1.012
22,Tampa Bay Lightning,82,4990:58,38,36,8,35,84,0.512,4167,4794,46.5,3086,3516,46.74,2227,2502,47.09,232,278,45.49,194.38,221.93,46.69,1994,2347,45.93,1237,1408,46.77,195,222,46.76,15.76,84.23,886,925,48.92,692,711,49.32,140,153,47.78,20.23,78.48,1108,1422,43.79,545,697,43.88,55,69,44.35,10.09,90.1,1898,2125,47.18,926,1002,48.03,35,47,42.68,3.78,95.31,10.42,88.89,0.993
23,Buffalo Sabres,82,5010:38,39,32,11,32,89,0.543,4447,4617,49.06,3290,3542,48.16,2397,2571,48.25,211,223,48.62,199.82,217.49,47.88,1938,2055,48.53,1166,1307,47.15,171,170,50.15,14.67,86.99,833,890,48.35,622,679,47.81,118,114,50.86,18.97,83.21,1105,1165,48.68,544,628,46.42,53,56,48.62,9.74,91.08,2129,2183,49.37,1150,1175,49.46,37,49,43.02,3.22,95.83,8.8,91.33,1.001
24,Ottawa Senators,82,4995:17,41,31,10,35,92,0.561,4951,4640,51.62,3607,3562,50.31,2574,2627,49.49,243,236,50.73,218.48,224.48,49.32,2163,2183,49.77,1218,1325,47.9,190,193,49.61,15.6,85.43,856,925,48.06,619,698,47.0,126,128,49.61,20.36,81.66,1307,1258,50.96,599,627,48.86,64,65,49.61,10.68,89.63,2444,2121,53.54,1291,1223,51.35,45,38,54.22,3.49,96.89,9.44,91.02,1.005
25,Carolina Hurricanes,82,4988:40,33,33,16,32,82,0.5,4746,4975,48.82,3514,3736,48.47,2498,2653,48.5,212,237,47.22,239.42,250.54,48.86,2203,2298,48.94,1308,1355,49.12,166,186,47.16,12.69,86.27,992,997,49.87,728,728,50.0,120,136,46.88,16.48,81.32,1211,1301,48.21,580,627,48.05,46,50,47.92,7.93,92.03,2093,2242,48.28,1095,1215,47.4,43,47,47.78,3.93,96.13,8.49,91.07,0.996
26,Boston Bruins,82,4988:53,49,29,4,40,102,0.622,4965,4335,53.39,3663,3281,52.75,2653,2441,52.08,260,199,56.64,210.37,188.49,52.74,2131,1894,52.94,1277,1219,51.16,205,159,56.32,16.05,86.96,831,728,53.3,656,580,53.07,139,98,58.65,21.19,83.1,1300,1166,52.72,621,639,49.29,66,61,51.97,10.63,90.45,2407,2089,53.54,1241,1097,53.08,50,38,56.82,4.03,96.54,9.8,91.85,1.016
27,Columbus Blue Jackets,82,4973:05,29,46,7,25,65,0.396,4327,4402,49.57,3296,3348,49.61,2454,2537,49.17,198,257,43.52,210.36,203.19,50.87,1967,1966,50.01,1249,1232,50.34,154,206,42.78,12.33,83.28,838,810,50.85,660,641,50.73,121,159,43.21,18.33,75.2,1129,1156,49.41,589,591,49.92,33,47,41.25,5.6,92.05,1983,2028,49.44,1141,1221,48.31,40,47,45.98,3.51,96.15,8.07,89.87,0.979
28,Edmonton Oilers,82,4987:19,32,40,10,27,74,0.451,4090,4735,46.35,3061,3496,46.68,2186,2518,46.47,207,232,47.15,202.75,249.73,44.81,1906,2245,45.92,1178,1407,45.57,171,180,48.72,14.52,87.21,830,1007,45.18,626,764,45.04,116,129,47.35,18.53,83.12,1076,1238,46.5,552,643,46.19,55,51,51.89,9.96,92.07,1854,2122,46.63,956,1041,47.87,34,48,41.46,3.56,95.39,9.47,90.79,1.003
29,Dallas Stars,82,4988:39,42,35,5,35,89,0.543,4475,4785,48.33,3321,3523,48.52,2315,2527,47.81,204,218,48.34,187.54,215.93,46.48,1806,2060,46.71,1081,1242,46.53,162,163,49.85,14.99,86.88,748,810,48.01,551,602,47.79,113,111,50.45,20.51,81.56,1058,1250,45.84,530,640,45.3,49,52,48.51,9.25,91.88,2057,2252,47.74,1040,1186,46.72,35,50,41.18,3.37,95.78,8.81,91.37,1.002
