,Team,GP,TOI,W,L,OTL,ROW,Points,Point %,CF,CA,CF%,FF,FA,FF%,SF,SA,SF%,GF,GA,GF%,xGF,xGA,xGF%,SCF,SCA,SCF%,SCSF,SCSA,SCSF%,SCGF,SCGA,SCGF%,SCSH%,SCSV%,HDCF,HDCA,HDCF%,HDSF,HDSA,HDSF%,HDGF,HDGA,HDGF%,HDSH%,HDSV%,MDCF,MDCA,MDCF%,MDSF,MDSA,MDSF%,MDGF,MDGA,MDGF%,MDSH%,MDSV%,LDCF,LDCA,LDCF%,LDSF,LDSA,LDSF%,LDGF,LDGA,LDGF%,LDSH%,LDSV%,SH%,SV%,PDO
11,Edmonton Oilers,71,4300:00,37,25,9,35,83,0.585,3767,4183,47.38,2859,3119,47.83,2100,2274,48.01,223,215,50.91,197.35,206.01,48.93,1880,2022,48.18,1125,1216,48.06,189,180,51.22,16.8,85.2,787,780,50.22,580,604,48.99,122,113,51.91,21.03,81.29,1093,1242,46.81,545,612,47.1,67,67,50.0,12.29,89.05,1618,1869,46.4,858,924,48.15,30,31,49.18,3.5,96.65,10.62,90.55,1.012
12,Florida Panthers,69,4185:13,35,26,8,32,78,0.565,3956,3962,49.96,3005,2984,50.18,2254,2227,50.3,228,224,50.44,190.04,200.97,48.6,1813,1845,49.56,1177,1201,49.5,177,172,50.72,15.04,85.68,703,796,46.9,548,628,46.6,111,100,52.61,20.26,84.08,1110,1049,51.41,629,573,52.33,66,72,47.83,10.49,87.43,1847,1793,50.74,966,884,52.22,44,43,50.57,4.55,95.14,10.12,89.94,1.001
13,Los Angeles Kings,70,4240:10,29,35,6,28,64,0.457,4272,3792,52.98,3258,2931,52.64,2325,2079,52.79,177,209,45.85,202.44,196.56,50.74,1852,1842,50.14,1132,1102,50.67,141,168,45.63,12.46,84.75,785,742,51.41,573,531,51.9,97,110,46.86,16.93,79.28,1067,1100,49.24,559,571,49.47,44,58,43.14,7.87,89.84,2030,1667,54.91,1058,865,55.02,29,35,45.31,2.74,95.95,7.61,89.95,0.976
14,Minnesota Wild,69,4180:27,35,27,7,33,77,0.558,3797,3876,49.49,2862,2908,49.6,2077,2115,49.55,218,217,50.11,175.8,165.81,51.46,1679,1602,51.17,1022,979,51.07,175,172,50.43,17.12,82.43,735,596,55.22,557,431,56.38,118,107,52.44,21.18,75.17,944,1006,48.41,465,548,45.9,57,65,46.72,12.26,88.14,1796,1911,48.45,939,1018,47.98,38,35,52.05,4.05,96.56,10.5,89.74,1.002
15,Montreal Canadiens,71,4309:55,31,31,9,27,71,0.5,4455,3915,53.23,3304,2990,52.49,2423,2208,52.32,208,220,48.6,205.46,190.54,51.88,2064,1816,53.2,1245,1111,52.84,171,173,49.71,13.73,84.43,861,774,52.66,650,590,52.42,114,115,49.78,17.54,80.51,1203,1042,53.59,595,521,53.32,57,58,49.57,9.58,88.87,2037,1765,53.58,1043,955,52.2,33,41,44.59,3.16,95.71,8.58,90.04,0.986
16,New Jersey Devils,69,4204:33,28,29,12,24,68,0.493,3719,4134,47.36,2893,3101,48.26,2118,2257,48.41,185,224,45.23,190.4,194.81,49.43,1758,2028,46.43,1133,1227,48.01,146,177,45.2,12.89,85.57,747,724,50.78,566,551,50.67,101,107,48.56,17.84,80.58,1011,1304,43.67,567,676,45.62,45,70,39.13,7.94,89.64,1707,1821,48.38,877,920,48.8,35,42,45.45,3.99,95.43,8.73,90.08,0.988
17,Nashville Predators,69,4195:58,35,26,8,32,78,0.565,4174,4004,51.04,3186,2984,51.64,2287,2158,51.45,212,214,49.77,202.07,189.33,51.63,1898,1882,50.21,1134,1145,49.76,176,173,50.43,15.52,84.89,729,765,48.8,562,577,49.34,121,115,51.27,21.53,80.07,1169,1117,51.14,572,568,50.18,55,58,48.67,9.62,89.79,1970,1811,52.1,1040,894,53.77,30,33,47.62,2.88,96.31,9.27,90.08,0.994
18,New York Islanders,68,4145:10,35,23,10,32,80,0.588,3677,4171,46.85,2712,3018,47.33,2016,2124,48.7,189,190,49.87,182.98,187.89,49.34,1883,2037,48.04,1142,1160,49.61,157,150,51.14,13.75,87.07,853,819,51.02,667,592,52.98,120,108,52.63,17.99,81.76,1030,1218,45.82,475,568,45.54,37,42,46.84,7.79,92.61,1518,1805,45.68,780,844,48.03,29,35,45.31,3.72,95.85,9.38,91.05,1.004
19,New York Rangers,70,4225:22,37,28,5,36,79,0.564,3830,4402,46.53,2960,3352,46.89,2175,2382,47.73,233,220,51.43,200.25,234.82,46.03,1905,2113,47.41,1156,1267,47.71,195,184,51.45,16.87,85.48,843,928,47.6,624,678,47.93,136,115,54.18,21.79,83.04,1062,1185,47.26,532,589,47.46,59,69,46.09,11.09,88.29,1637,1960,45.51,878,996,46.85,31,33,48.44,3.53,96.69,10.71,90.76,1.015
20,Ottawa Senators,71,4322:54,25,34,12,24,62,0.437,4076,4356,48.34,3086,3286,48.43,2175,2384,47.71,190,238,44.39,206.11,214.17,49.04,2009,2073,49.22,1155,1230,48.43,160,198,44.69,13.85,83.9,898,838,51.73,650,619,51.22,120,130,48.0,18.46,79.0,1111,1235,47.36,505,611,45.25,40,68,37.04,7.92,88.87,1726,1934,47.16,879,1030,46.05,27,36,42.86,3.07,96.5,8.74,90.02,0.988
21,Philadelphia Flyers,69,4205:34,41,21,7,36,89,0.645,3838,3553,51.93,2918,2710,51.85,2167,1977,52.29,227,191,54.31,188.75,179.62,51.24,1776,1698,51.12,1115,1042,51.69,178,149,54.43,15.96,85.7,769,727,51.4,585,546,51.72,121,100,54.75,20.68,81.68,1007,971,50.91,530,496,51.66,57,49,53.77,10.75,90.12,1728,1554,52.65,907,800,53.13,42,38,52.5,4.63,95.25,10.48,90.34,1.008
22,Pittsburgh Penguins,69,4194:03,40,23,6,37,86,0.623,3862,3645,51.45,2945,2753,51.68,2205,2051,51.81,221,196,53.0,201.9,176.1,53.41,1885,1692,52.7,1210,1098,52.43,185,164,53.01,15.29,85.06,779,682,53.32,611,549,52.67,128,107,54.47,20.95,80.51,1106,1010,52.27,599,549,52.18,57,57,50.0,9.52,89.62,1682,1634,50.72,867,829,51.12,30,25,54.55,3.46,96.98,10.02,90.44,1.005
23,San Jose Sharks,70,4233:25,29,36,5,27,63,0.45,3900,3866,50.22,2888,2930,49.64,2102,2141,49.54,180,225,44.44,196.8,205.98,48.86,1890,1970,48.96,1146,1239,48.05,148,185,44.44,12.91,85.07,810,841,49.06,616,640,49.04,92,118,43.81,14.94,81.56,1080,1129,48.89,530,599,46.94,56,67,45.53,10.57,88.81,1711,1561,52.29,854,753,53.14,30,31,49.18,3.51,95.88,8.56,89.49,0.981
24,St Louis Blues,71,4320:55,42,19,10,40,94,0.662,3784,3705,50.53,2896,2861,50.3,2180,2103,50.9,223,190,54.0,190.2,196.11,49.24,1896,1840,50.75,1183,1173,50.21,171,131,56.62,14.45,88.83,699,768,47.65,542,587,48.01,98,79,55.37,18.08,86.54,1197,1072,52.75,641,586,52.24,73,52,58.4,11.39,91.13,1641,1597,50.68,888,822,51.93,46,55,45.54,5.18,93.31,10.23,90.97,1.012
25,Tampa Bay Lightning,70,4243:09,43,21,6,41,92,0.657,4006,3811,51.25,3032,2914,50.99,2176,2165,50.13,243,194,55.61,202.94,185.0,52.31,2051,1841,52.7,1279,1182,51.97,204,157,56.51,15.95,86.72,756,703,51.82,573,550,51.02,123,98,55.66,21.47,82.18,1295,1138,53.23,706,632,52.77,81,59,57.86,11.47,90.66,1684,1717,49.51,796,867,47.87,36,35,50.7,4.52,95.96,11.17,91.04,1.022
26,Toronto Maple Leafs,70,4261:52,36,25,9,35,81,0.579,4260,4000,51.57,3224,3097,51.0,2302,2234,50.75,237,222,51.63,207.85,195.51,51.53,2149,1937,52.59,1295,1174,52.45,193,186,50.92,14.9,84.16,830,792,51.17,620,596,50.99,132,122,51.97,21.29,79.53,1319,1145,53.53,675,578,53.87,61,64,48.8,9.04,88.93,1855,1796,50.81,922,956,49.09,40,33,54.79,4.34,96.55,10.3,90.06,1.004
27,Vancouver Canucks,69,4189:13,36,27,6,32,78,0.565,3945,4152,48.72,2985,3064,49.35,2153,2297,48.38,224,214,51.14,190.6,212.83,47.25,1877,2106,47.13,1112,1277,46.55,182,173,51.27,16.37,86.45,743,791,48.44,550,615,47.21,114,113,50.22,20.73,81.63,1134,1315,46.3,562,662,45.92,68,60,53.13,12.1,90.94,1764,1756,50.11,916,911,50.14,34,37,47.89,3.71,95.94,10.4,90.68,1.011
28,Vegas Golden Knights,71,4313:48,39,24,8,36,86,0.606,4451,3802,53.93,3381,2847,54.29,2452,2083,54.07,224,209,51.73,224.15,190.66,54.04,2249,1821,55.26,1424,1112,56.15,190,165,53.52,13.34,85.16,911,765,54.36,687,575,54.44,116,113,50.66,16.89,80.35,1338,1056,55.89,737,537,57.85,74,52,58.73,10.04,90.32,1863,1683,52.54,892,868,50.68,29,42,40.85,3.25,95.16,9.14,89.97,0.991
29,Winnipeg Jets,71,4300:53,37,28,6,34,80,0.563,4013,4085,49.56,3052,3211,48.73,2222,2315,48.98,213,201,51.45,189.0,214.4,46.85,1860,2005,48.12,1128,1232,47.8,173,167,50.88,15.34,86.44,699,919,43.2,518,680,43.24,107,130,45.15,20.66,80.88,1161,1086,51.67,610,552,52.5,66,37,64.08,10.82,93.3,1903,1792,51.5,992,969,50.59,35,29,54.69,3.53,97.01,9.59,91.32,1.009
30,Washington Capitals,69,4198:01,41,20,8,37,90,0.652,4053,3795,51.64,3090,2844,52.07,2208,2084,51.44,236,212,52.68,209.78,194.14,51.94,1929,1822,51.43,1153,1110,50.95,183,182,50.14,15.87,83.6,798,769,50.93,572,569,50.13,129,125,50.79,22.55,78.03,1131,1053,51.79,581,541,51.78,54,57,48.65,9.29,89.46,1760,1608,52.26,905,835,52.01,43,26,62.32,4.75,96.89,10.69,89.83,1.005
