,PlayerID,Player,Position,Team,Age,ATOI,Gper1kChunk,A1per1kChunk,A2per1kChunk
49,8474031,Kevin Shattenkirk,D,BOS,26,22.456315416126362,4.1743032852576185,5.587429444269871,3.911866945486049
50,8471769,Niklas Hjalmarsson,D,ARI,28,22.419368510276286,0.5584064682106126,1.9344354073895247,4.119284671090323
51,8468493,Ron Hainsey,D,OTT,34,22.3738395889385,1.3787123854080496,1.6593106226220538,2.207868156006301
52,8474151,Ryan McDonagh,D,NSH,26,22.332050362558086,2.755310960958601,4.753720924992472,2.8635974173225582
53,8474567,Zach Bogosian,D,MIN,25,22.331586368430642,2.3677844872030422,2.162641003298147,3.635459690195314
54,8470602,Dion Phaneuf,D,LAK,30,22.305596757212278,1.3625509396260127,4.801411575977113,3.735017851050823
55,8466285,Brian Campbell,D,CHI,36,22.215502476356715,1.6422308794146658,3.2844617588293317,3.558166905398443
56,8477495,Seth Jones,D,CHI,21,22.19460794109301,0.8531570806284533,3.342787440631169,4.478779490935721
57,8471873,Anton Stralman,D,BOS,29,22.123660198344776,2.6838804400937564,3.027919307838528,4.461313357989837
58,8476885,Jacob Trouba,D,NYR,21,22.06713995410567,1.6899768297125113,2.5154474972014667,1.7097399737636678
59,8476854,Hampus Lindholm,D,BOS,21,22.058833814854605,2.8158413667191224,2.2894775065892605,2.8978351181286994
60,8476472,Oscar Klefbom,D,EDM,22,21.97391276468192,2.1121420885212334,2.562008563649779,3.9298094972085456
61,8474207,Nick Holden,D,OTT,28,21.972183325429295,1.6720543975030655,2.2294058633374205,2.2294058633374205
62,8468509,Niklas Kronwall,D,DET,34,21.922022285164807,1.1574472601042192,3.860108852294827,4.298977888772797
63,8477215,Danny DeKeyser,D,DET,25,21.85860206301427,2.2983154309604426,2.091086456493869,1.626337527570577
64,8468309,Mark Streit,D,MTL,38,21.856357711279134,2.136167381205338,2.7467725687377165,4.141933110320706
65,8475158,Ryan O'Reilly,C,NSH,24,21.854577099093113,6.728252401570943,8.334631166208702,4.321542822433991
66,8471284,Andrej Sekera,D,DAL,29,21.835947964247314,1.6966440355705246,3.668980990996005,3.116651836547703
67,8477851,Jordan Oesterle,D,CGY,23,21.815758078288994,0.8848918792678089,2.2528308065218656,2.077629509157605
68,8475690,Chris Tanev,D,CGY,26,21.810712356214534,1.290962279543177,2.0100626018316547,2.695470067005852
69,8476792,Torey Krug,D,STL,24,21.724344878562484,1.1710724578040201,7.423337958302456,4.037123987135148
70,8477932,Aaron Ekblad,D,FLA,19,21.715944107367154,4.355750352202675,2.3088698918568946,3.8780321135775373
71,8473991,Karl Alzner,D,MTL,27,21.46021885764711,1.1410640422193694,2.282128084438739,2.567394094993581
72,8469465,Dan Hamhuis,D,NSH,33,21.397104795444655,1.1675907216815262,2.62800490922207,2.16062010638524
73,8476166,Taylor Fedun,D,PIT,27,21.38802574499912,4.503956376052484,2.7912566263439373,5.137455155209797
74,8473507,Jeff Petry,D,DET,28,21.384735571726733,2.1580010412330077,2.3836850327349786,2.5985739663925997
75,8470187,Johnny Boychuk,D,NYI,31,21.37246808559384,2.904531691828095,2.6734940462686967,2.736529185492121
76,8475222,Sami Vatanen,D,DAL,24,21.355349811130274,3.076719005429287,4.132680792865732,5.258563465131552
77,8474166,Alec Martinez,D,VGK,28,21.22538416495549,3.0289637677586043,3.867951819624748,2.4797355080840155
78,8475598,Ryan Stanton,D,WSH,26,21.18054599475033,1.1706844960770957,1.6809860395222176,3.417338603880347
79,8475169,Evander Kane,L,EDM,24,21.10411873100632,7.536761630101883,3.828986491184546,2.353235777191122
80,8475179,Dmitry Kulikov,D,FLA,25,21.046445988400365,0.45499494391978346,2.829481117864185,2.2973245498979624
81,8469598,Kevin Bieksa,D,ANA,34,21.009537936731743,1.392993552785506,2.3460343382434816,1.461950153242209
