,Player,Team,Position,Age,Date of Birth,Birth City,Birth State/Province,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Team,Draft Round,Round Pick,Overall Draft Position
43,Corey Crawford,CHI,G,40,1984-12-31,Montreal,QC,CAN,CAN,74,216,2003,CHI,2,22,52
44,Jimmy Howard,DET,G,41,1984-03-26,Syracuse,NY,USA,USA,73,218,2003,DET,2,34,64
45,Mike Brodeur,OTT,G,42,1983-03-30,Calgary,AB,CAN,CAN,74,185,2003,CHI,7,14,211
46,Jaroslav Halak,STL,G,40,1985-05-13,Bratislava,,SVK,SVK,71,189,2003,MTL,9,10,271
47,Brian Elliott,"COL, OTT",G,40,1985-04-09,Newmarket,ON,CAN,CAN,74,221,2003,OTT,9,30,291
48,Al Montoya,NYI,G,40,1985-02-13,Chicago,IL,USA,USA,74,200,2004,NYR,1,6,6
49,Devan Dubnyk,EDM,G,39,1986-05-04,Regina,SK,CAN,CAN,78,224,2004,EDM,1,14,14
50,Cory Schneider,VAN,G,39,1986-03-18,Marblehead,MA,USA,USA,75,214,2004,VAN,1,26,26
51,Justin Peters,CAR,G,38,1986-08-30,Blyth,ON,CAN,CAN,73,210,2004,CAR,2,8,38
52,Anton Khudobin,MIN,G,39,1986-05-07,Ust-Kamenogorsk,,KAZ,RUS,71,210,2004,MIN,7,13,206
53,Pekka Rinne,NSH,G,42,1982-11-03,Kempele,,FIN,FIN,77,217,2004,NSH,8,31,258
54,Carey Price,MTL,G,37,1987-08-16,Anahim Lake,BC,CAN,CAN,75,217,2005,MTL,1,5,5
55,Tuukka Rask,BOS,G,38,1987-03-10,Savonlinna,,FIN,FIN,75,176,2005,TOR,1,21,21
56,Ondrej Pavelec,ATL,G,37,1987-08-31,Kladno,,CZE,CZE,75,212,2005,ATL,2,11,41
57,Jonathan Quick,L.A,G,39,1986-01-21,Milford,CT,USA,USA,73,220,2005,L.A,3,11,72
58,Ben Bishop,STL,G,38,1986-11-21,Denver,CO,USA,USA,79,210,2005,STL,3,24,85
59,Alex Stalock,S.J,G,38,1987-07-28,St. Paul,MN,USA,USA,71,170,2005,S.J,4,21,112
60,Niklas Backstrom,MIN,G,47,1978-02-13,Helsinki,,FIN,FIN,74,192,-,-,-,-,-
61,Chad Johnson,NYR,G,39,1986-06-10,Saskatoon,SK,CAN,CAN,75,197,2006,PIT,5,2,125
62,Steve Mason,CBJ,G,37,1988-05-29,Oakville,ON,CAN,CAN,76,188,2006,CBJ,3,6,69
63,James Reimer,TOR,G,37,1988-03-15,Morweena,MB,CAN,CAN,75,205,2006,TOR,4,6,99
64,Jhonas Enroth,BUF,G,37,1988-06-25,Stockholm,,SWE,SWE,70,175,2006,BUF,2,16,46
65,Mark Dekanich,NSH,G,39,1986-05-10,N. Vancouver,BC,CAN,CAN,74,185,2006,NSH,5,23,146
66,Jonathan Bernier,L.A,G,37,1988-08-07,Laval,QC,CAN,CAN,72,185,2006,L.A,1,11,11
67,Semyon Varlamov,WSH,G,37,1988-04-27,Samara,,RUS,RUS,74,206,2006,WSH,1,23,23
68,Michal Neuvirth,WSH,G,37,1988-03-23,Ústí nad Labem,,CZE,CZE,73,209,2006,WSH,2,4,34
69,Richard Bachman,DAL,G,38,1987-07-25,Salt Lake City,UT,USA,USA,70,183,2006,DAL,4,27,120
70,Cedrick Desjardins,T.B,G,39,1985-09-30,Edmundston,NB,CAN,CAN,72,188,-,-,-,-,-
71,Jonas Hiller,ANA,G,43,1982-02-12,Felben Wellhausen,,CHE,CHE,74,191,-,-,-,-,-
72,Timo Pielmeier,ANA,G,36,1989-07-07,Deggendorf,,DEU,DEU,71,175,2007,S.J,3,22,83
73,Matt Climie,PHX,G,42,1983-02-11,Leduc,AB,CAN,CAN,75,194,-,-,-,-,-
74,Antti Niemi,S.J,G,41,1983-08-29,Vantaa,,FIN,FIN,74,209,-,-,-,-,-
75,Tom McCollum,DET,G,35,1989-12-07,Amherst,NY,USA,USA,74,220,2008,DET,1,30,30
76,Jacob Markstrom,FLA,G,35,1990-01-31,Gävle,,SWE,SWE,78,207,2008,FLA,2,1,31
77,Braden Holtby,WSH,G,35,1989-09-16,Lloydminster,SK,CAN,CAN,73,215,2008,WSH,4,2,93
78,Kevin Poulin,NYI,G,35,1990-04-12,Montreal,QC,CAN,CAN,74,206,2008,NYI,5,5,126
79,Anders Lindback,NSH,G,37,1988-05-03,Gävle,,SWE,SWE,78,215,2008,NSH,7,26,207
80,Peter Mannino,ATL,G,41,1984-02-17,Farmington Hills,MI,USA,USA,73,195,-,-,-,-,-
81,Nathan Lawson,NYI,G,41,1983-09-29,Calgary,AB,CAN,CAN,74,198,-,-,-,-,-
82,Mikko Koskinen,NYI,G,37,1988-07-18,Vantaa,,FIN,FIN,79,202,2009,NYI,2,1,31
83,Robin Lehner,OTT,G,34,1991-07-24,Gothenburg,,SWE,SWE,76,250,2009,OTT,2,16,46
84,Jonas Gustavsson,TOR,G,40,1984-10-24,Danderyd,,SWE,SWE,76,201,-,-,-,-,-
85,Henrik Karlsson,CGY,G,41,1983-11-27,Tumba,,SWE,SWE,78,209,-,-,-,-,-
86,Sergei Bobrovsky,PHI,G,36,1988-09-20,Novokuznetsk,,RUS,RUS,74,182,-,-,-,-,-
