Simulation,Abbreviation,Team,Wins,Losses,OTL,Points,Goals For,Goals Against
6,WSH,Washington Capitals,40,31,11,91,216,252
6,MIN,Minnesota Wild,39,33,10,88,247,260
6,PIT,Pittsburgh Penguins,38,32,12,88,253,246
6,PHI,Philadelphia Flyers,38,33,11,87,231,258
6,BUF,Buffalo Sabres,39,37,6,84,244,243
6,NJD,New Jersey Devils,38,39,5,81,264,280
6,CGY,Calgary Flames,38,39,5,81,253,267
6,SEA,Seattle Kraken,34,35,13,81,214,232
6,OTT,Ottawa Senators,37,41,4,78,250,281
6,ARI,Arizona Coyotes,36,41,5,77,254,274
6,MTL,Montréal Canadiens,30,36,16,76,232,281
6,CBJ,Columbus Blue Jackets,27,43,12,66,234,298
6,ANA,Anaheim Ducks,27,50,5,59,203,292
6,CHI,Chicago Blackhawks,23,53,6,52,178,289
6,SJS,San Jose Sharks,19,54,9,47,180,326
7,NYR,New York Rangers,55,23,4,114,278,226
7,DAL,Dallas Stars,52,21,9,113,294,232
7,CAR,Carolina Hurricanes,52,23,7,111,277,211
7,FLA,Florida Panthers,52,24,6,110,265,198
7,WPG,Winnipeg Jets,52,24,6,110,259,198
7,VAN,Vancouver Canucks,50,23,9,109,279,221
7,BOS,Boston Bruins,47,20,15,109,263,221
7,COL,Colorado Avalanche,50,25,7,107,302,252
7,EDM,Edmonton Oilers,49,27,6,104,292,236
7,TOR,Toronto Maple Leafs,46,26,10,102,298,261
7,NSH,Nashville Predators,47,30,5,99,266,248
7,LAK,Los Angeles Kings,44,27,11,99,254,210
7,TBL,Tampa Bay Lightning,45,29,8,98,288,267
7,VGK,Vegas Golden Knights,45,29,8,98,263,243
7,NYI,New York Islanders,39,27,16,94,245,258
7,STL,St. Louis Blues,43,33,6,92,234,248
7,DET,Detroit Red Wings,41,32,9,91,275,273
7,WSH,Washington Capitals,40,31,11,91,216,252
7,MIN,Minnesota Wild,39,33,10,88,247,260
7,PIT,Pittsburgh Penguins,38,32,12,88,253,246
7,PHI,Philadelphia Flyers,38,33,11,87,231,258
7,BUF,Buffalo Sabres,39,37,6,84,244,243
7,NJD,New Jersey Devils,38,39,5,81,264,280
7,CGY,Calgary Flames,38,39,5,81,253,267
7,SEA,Seattle Kraken,34,35,13,81,214,232
7,OTT,Ottawa Senators,37,41,4,78,250,281
7,ARI,Arizona Coyotes,36,41,5,77,254,274
7,MTL,Montréal Canadiens,30,36,16,76,232,281
7,CBJ,Columbus Blue Jackets,27,43,12,66,234,298
7,ANA,Anaheim Ducks,27,50,5,59,203,292
7,CHI,Chicago Blackhawks,23,53,6,52,178,289
7,SJS,San Jose Sharks,19,54,9,47,180,326
8,NYR,New York Rangers,55,23,4,114,278,226
8,DAL,Dallas Stars,52,21,9,113,294,232
8,CAR,Carolina Hurricanes,52,23,7,111,277,211
8,FLA,Florida Panthers,52,24,6,110,265,198
8,WPG,Winnipeg Jets,52,24,6,110,259,198
8,VAN,Vancouver Canucks,50,23,9,109,279,221
8,BOS,Boston Bruins,47,20,15,109,263,221
8,COL,Colorado Avalanche,50,25,7,107,302,252
8,EDM,Edmonton Oilers,49,27,6,104,292,236
8,TOR,Toronto Maple Leafs,46,26,10,102,298,261
8,NSH,Nashville Predators,47,30,5,99,266,248
8,LAK,Los Angeles Kings,44,27,11,99,254,210
8,TBL,Tampa Bay Lightning,45,29,8,98,288,267
8,VGK,Vegas Golden Knights,45,29,8,98,263,243
8,NYI,New York Islanders,39,27,16,94,245,258
8,STL,St. Louis Blues,43,33,6,92,234,248
8,DET,Detroit Red Wings,41,32,9,91,275,273
8,WSH,Washington Capitals,40,31,11,91,216,252
8,MIN,Minnesota Wild,39,33,10,88,247,260
8,PIT,Pittsburgh Penguins,38,32,12,88,253,246
8,PHI,Philadelphia Flyers,38,33,11,87,231,258
8,BUF,Buffalo Sabres,39,37,6,84,244,243
8,NJD,New Jersey Devils,38,39,5,81,264,280
8,CGY,Calgary Flames,38,39,5,81,253,267
8,SEA,Seattle Kraken,34,35,13,81,214,232
8,OTT,Ottawa Senators,37,41,4,78,250,281
8,ARI,Arizona Coyotes,36,41,5,77,254,274
8,MTL,Montréal Canadiens,30,36,16,76,232,281
8,CBJ,Columbus Blue Jackets,27,43,12,66,234,298
8,ANA,Anaheim Ducks,27,50,5,59,203,292
8,CHI,Chicago Blackhawks,23,53,6,52,178,289
8,SJS,San Jose Sharks,19,54,9,47,180,326
9,NYR,New York Rangers,55,23,4,114,278,226
9,DAL,Dallas Stars,52,21,9,113,294,232
9,CAR,Carolina Hurricanes,52,23,7,111,277,211
9,FLA,Florida Panthers,52,24,6,110,265,198
9,WPG,Winnipeg Jets,52,24,6,110,259,198
9,VAN,Vancouver Canucks,50,23,9,109,279,221
9,BOS,Boston Bruins,47,20,15,109,263,221
9,COL,Colorado Avalanche,50,25,7,107,302,252
9,EDM,Edmonton Oilers,49,27,6,104,292,236
9,TOR,Toronto Maple Leafs,46,26,10,102,298,261
9,NSH,Nashville Predators,47,30,5,99,266,248
9,LAK,Los Angeles Kings,44,27,11,99,254,210
9,TBL,Tampa Bay Lightning,45,29,8,98,288,267
9,VGK,Vegas Golden Knights,45,29,8,98,263,243
9,NYI,New York Islanders,39,27,16,94,245,258
9,STL,St. Louis Blues,43,33,6,92,234,248
9,DET,Detroit Red Wings,41,32,9,91,275,273
9,WSH,Washington Capitals,40,31,11,91,216,252
9,MIN,Minnesota Wild,39,33,10,88,247,260
9,PIT,Pittsburgh Penguins,38,32,12,88,253,246
9,PHI,Philadelphia Flyers,38,33,11,87,231,258
9,BUF,Buffalo Sabres,39,37,6,84,244,243
9,NJD,New Jersey Devils,38,39,5,81,264,280
9,CGY,Calgary Flames,38,39,5,81,253,267
9,SEA,Seattle Kraken,34,35,13,81,214,232
9,OTT,Ottawa Senators,37,41,4,78,250,281
9,ARI,Arizona Coyotes,36,41,5,77,254,274
9,MTL,Montréal Canadiens,30,36,16,76,232,281
9,CBJ,Columbus Blue Jackets,27,43,12,66,234,298
9,ANA,Anaheim Ducks,27,50,5,59,203,292
9,CHI,Chicago Blackhawks,23,53,6,52,178,289
9,SJS,San Jose Sharks,19,54,9,47,180,326
10,NYR,New York Rangers,55,23,4,114,278,226
10,DAL,Dallas Stars,52,21,9,113,294,232
10,CAR,Carolina Hurricanes,52,23,7,111,277,211
10,FLA,Florida Panthers,52,24,6,110,265,198
10,WPG,Winnipeg Jets,52,24,6,110,259,198
10,VAN,Vancouver Canucks,50,23,9,109,279,221
10,BOS,Boston Bruins,47,20,15,109,263,221
10,COL,Colorado Avalanche,50,25,7,107,302,252
10,EDM,Edmonton Oilers,49,27,6,104,292,236
10,TOR,Toronto Maple Leafs,46,26,10,102,298,261
10,NSH,Nashville Predators,47,30,5,99,266,248
10,LAK,Los Angeles Kings,44,27,11,99,254,210
10,TBL,Tampa Bay Lightning,45,29,8,98,288,267
10,VGK,Vegas Golden Knights,45,29,8,98,263,243
10,NYI,New York Islanders,39,27,16,94,245,258
10,STL,St. Louis Blues,43,33,6,92,234,248
10,DET,Detroit Red Wings,41,32,9,91,275,273
10,WSH,Washington Capitals,40,31,11,91,216,252
10,MIN,Minnesota Wild,39,33,10,88,247,260
10,PIT,Pittsburgh Penguins,38,32,12,88,253,246
10,PHI,Philadelphia Flyers,38,33,11,87,231,258
10,BUF,Buffalo Sabres,39,37,6,84,244,243
10,NJD,New Jersey Devils,38,39,5,81,264,280
10,CGY,Calgary Flames,38,39,5,81,253,267
10,SEA,Seattle Kraken,34,35,13,81,214,232
10,OTT,Ottawa Senators,37,41,4,78,250,281
10,ARI,Arizona Coyotes,36,41,5,77,254,274
10,MTL,Montréal Canadiens,30,36,16,76,232,281
10,CBJ,Columbus Blue Jackets,27,43,12,66,234,298
10,ANA,Anaheim Ducks,27,50,5,59,203,292
10,CHI,Chicago Blackhawks,23,53,6,52,178,289
10,SJS,San Jose Sharks,19,54,9,47,180,326
