,PlayerID,Player,Position,Team,Age,Games Played,Goals,Assists,Points
269,8480802.0,Ryan McLeod,C,EDM,24,81.0,12.0,18.0,30.0
270,8475149.0,Marcus Johansson,L,MIN,33,78.0,11.0,19.0,30.0
271,8473533.0,Jordan Staal,C,CAR,35,80.0,10.0,20.0,30.0
272,8477505.0,Alex Wennberg,C,SEA,29,79.0,10.0,20.0,30.0
273,8481546.0,Cam York,D,PHI,22,82.0,10.0,20.0,30.0
274,8478469.0,Thomas Chabot,D,OTT,26,51.0,9.0,21.0,30.0
275,8480817.0,K'Andre Miller,D,NYR,23,80.0,8.0,22.0,30.0
276,8477969.0,Marcus Pettersson,D,PIT,27,82.0,4.0,26.0,30.0
277,8475753.0,Justin Faulk,D,STL,31,60.0,2.0,28.0,30.0
278,8479619.0,Michael Carcone,L,ARI,27,74.0,21.0,8.0,29.0
279,8482475.0,Yegor Chinakhov,R,CBJ,22,53.0,16.0,13.0,29.0
280,8480459.0,Pius Suter,C,VAN,27,67.0,14.0,15.0,29.0
281,8475763.0,Kevin Hayes,R,STL,31,79.0,13.0,16.0,29.0
282,8481524.0,Bowen  Byram,D,COL,22,73.0,11.0,18.0,29.0
283,8480336.0,Sean Walker,D,PHI,29,81.0,10.0,19.0,29.0
284,8481656.0,Aliaksei Protas,C,WSH,22,78.0,6.0,23.0,29.0
285,8474574.0,Tyler Myers,D,VAN,33,77.0,5.0,24.0,29.0
286,8482125.0,Alexander Holtz,R,NJD,21,82.0,16.0,12.0,28.0
287,8480813.0,Joe Veleno,C,DET,23,80.0,12.0,16.0,28.0
288,8480068.0,Ryan Poehling,C,PHI,24,77.0,11.0,17.0,28.0
289,8478115.0,Pierre Engvall,L,NYI,27,74.0,10.0,18.0,28.0
290,8478413.0,Jordan Greenway,L,BUF,26,67.0,10.0,18.0,28.0
291,8476923.0,Damon Severson,D,CBJ,29,67.0,9.0,19.0,28.0
292,8476931.0,Jake McCabe,D,TOR,30,73.0,8.0,20.0,28.0
293,8478133.0,Jake Evans,C,MTL,27,82.0,7.0,21.0,28.0
294,8476927.0,Teddy Blueger,C,VAN,29,68.0,6.0,22.0,28.0
295,8475181.0,Nick Leddy,D,STL,32,82.0,3.0,25.0,28.0
296,8478020.0,Michael Amadio,R,VGK,27,73.0,14.0,13.0,27.0
297,8481582.0,Nicholas Robertson,L,TOR,22,56.0,14.0,13.0,27.0
298,8480185.0,Eetu Luostarinen,C,FLA,25,82.0,12.0,15.0,27.0
299,8480829.0,Jesperi Kotkaniemi,C,CAR,23,79.0,12.0,15.0,27.0
300,8480113.0,Alex Iafallo,L,WPG,30,82.0,11.0,16.0,27.0
301,8480748.0,Kiefer Sherwood,L,NSH,28,68.0,10.0,17.0,27.0
302,8481596.0,Shane Pinto,C,OTT,23,41.0,9.0,18.0,27.0
303,8480835.0,Jack Drury,C,CAR,23,74.0,8.0,19.0,27.0
304,8476463.0,Jonas Brodin,D,MIN,30,62.0,7.0,20.0,27.0
305,8476918.0,Jimmy Vesey,L,NYR,30,80.0,13.0,13.0,26.0
306,8482092.0,Ridly Greig,C,OTT,21,72.0,13.0,13.0,26.0
307,8476892.0,Colton Parayko,D,STL,30,82.0,10.0,16.0,26.0
308,8479941.0,Justin Danforth,R,CBJ,30,71.0,10.0,16.0,26.0
309,8477425.0,Miles Wood,L,COL,28,74.0,9.0,17.0,26.0
310,8480855.0,Jack McBain,C,ARI,23,67.0,8.0,18.0,26.0
311,8474602.0,Justin Schultz,D,SEA,33,70.0,7.0,19.0,26.0
312,8475200.0,Dmitry Orlov,D,CAR,32,82.0,6.0,20.0,26.0
313,8475790.0,Erik Gudbranson,D,CBJ,31,78.0,6.0,20.0,26.0
314,8476902.0,Esa Lindell,D,DAL,29,82.0,5.0,21.0,26.0
315,8482655.0,J.J. Moser,D,ARI,23,80.0,5.0,21.0,26.0
316,8475188.0,Brayden McNabb,D,VGK,32,82.0,4.0,22.0,26.0
317,8476854.0,Hampus Lindholm,D,BOS,29,73.0,3.0,23.0,26.0
318,8474673.0,TJ Brodie,D,TOR,33,78.0,1.0,25.0,26.0
319,8476469.0,Joel Armia,R,MTL,30,66.0,17.0,8.0,25.0
320,8481601.0,Simon Holmstrom,R,NYI,22,75.0,15.0,10.0,25.0
321,8481186.0,Logan O'Connor,R,COL,27,57.0,13.0,12.0,25.0
322,8471698.0,T.J. Oshie,R,WSH,37,52.0,12.0,13.0,25.0
323,8479591.0,Michael Eyssimont,C,TBL,27,81.0,11.0,14.0,25.0
324,8476312.0,Josh Manson,D,COL,32,76.0,8.0,17.0,25.0
325,8477508.0,Curtis Lazar,C,NJD,28,71.0,7.0,18.0,25.0
326,8478136.0,Jake Middleton,D,MIN,27,80.0,7.0,18.0,25.0
327,8481032.0,Paul Cotter,C,VGK,24,76.0,7.0,18.0,25.0
328,8476879.0,Cody Ceci,D,EDM,30,79.0,5.0,20.0,25.0
329,8478911.0,Matt Roy,D,LAK,28,81.0,5.0,20.0,25.0
330,8482245.0,Artem Zub,D,OTT,28,69.0,5.0,20.0,25.0
331,8478507.0,John Marino,D,NJD,26,75.0,4.0,21.0,25.0
332,8478840.0,Will Borgen,D,SEA,27,82.0,3.0,22.0,25.0
333,8482259.0,Bobby McMann,C,TOR,27,56.0,15.0,9.0,24.0
334,8478043.0,Sam Lafferty,C,VAN,28,79.0,13.0,11.0,24.0
335,8481604.0,Pavel Dorofeyev,L,VGK,23,47.0,13.0,11.0,24.0
336,8475193.0,Tomas Tatar,L,SEA,33,70.0,9.0,15.0,24.0
337,8479351.0,Sam Steel,C,DAL,25,77.0,9.0,15.0,24.0
338,8475744.0,Evgeny Kuznetsov,C,WSH,31,63.0,8.0,16.0,24.0
339,8474031.0,Kevin Shattenkirk,D,BOS,34,61.0,6.0,18.0,24.0
340,8475233.0,David Savard,D,MTL,33,60.0,6.0,18.0,24.0
341,8476422.0,Mike Reilly,D,NYI,30,61.0,6.0,18.0,24.0
342,8473507.0,Jeff Petry,D,DET,36,73.0,3.0,21.0,24.0
343,8480246.0,Nick Perbix,D,TBL,25,77.0,2.0,22.0,24.0
344,8481606.0,Jordan Spence,D,LAK,22,71.0,2.0,22.0,24.0
345,8477947.0,Sonny Milano,L,WSH,27,49.0,15.0,8.0,23.0
346,8475793.0,Ryan Johansen,C,COL,31,63.0,13.0,10.0,23.0
347,8480821.0,Filip Zadina,R,SJS,24,72.0,13.0,10.0,23.0
348,8474149.0,Evgenii Dadonov,R,DAL,34,51.0,12.0,11.0,23.0
349,8474884.0,Mike Hoffman,C,SJS,34,66.0,10.0,13.0,23.0
350,8475231.0,Casey Cizikas,C,NYI,32,70.0,10.0,13.0,23.0
351,8482062.0,Cole Smith,L,NSH,28,80.0,9.0,14.0,23.0
352,8478882.0,Vladislav Gavrikov,D,LAK,28,77.0,6.0,17.0,23.0
