Simulation,PlayerID,Player,Position,Team,Age,Games Played,Goals,Assists,Points
1,8482745.0,Mason McTavish,C,ANA,20,64,19,23,42
1,8481542.0,Moritz Seider,D,DET,22,82,9,33,42
1,8477447.0,Shea Theodore,D,VGK,28,47,5,37,42
1,8477935.0,Sam Bennett,C,FLA,27,69,20,21,41
1,8477998.0,Warren Foegele,L,EDM,27,82,20,21,41
1,8480009.0,Eeli Tolvanen,R,SEA,24,81,16,25,41
1,8479345.0,Jakob Chychrun,D,OTT,25,82,14,27,41
1,8480028.0,Morgan Frost,C,PHI,24,71,13,28,41
1,8478462.0,Nicolas Roy,C,VGK,26,70,13,28,41
1,8476458.0,Ryan Strome,C,ANA,30,79,11,30,41
1,8480434.0,Sean Durzi,D,ARI,25,76,9,32,41
1,8482079.0,Marco Rossi,C,MIN,22,82,21,19,40
1,8478498.0,Jake DeBrusk,L,BOS,27,80,19,21,40
1,8479365.0,Trent Frederic,C,BOS,25,82,18,22,40
1,8479525.0,Ross Colton,C,COL,27,80,17,23,40
1,8479400.0,Pierre-Luc Dubois,C,LAK,25,82,16,24,40
1,8478233.0,Andrew Mangiapane,L,CGY,27,75,14,26,40
1,8475191.0,Reilly Smith,R,PIT,32,76,13,27,40
1,8479987.0,Morgan Geekie,C,BOS,25,76,17,22,39
1,8482146.0,Luke Evangelista,R,NSH,21,80,16,23,39
1,8474150.0,Mikael Backlund,C,CGY,34,82,15,24,39
1,8476872.0,Scott Laughton,C,PHI,29,82,13,26,39
1,8478542.0,Evan Rodrigues,C,FLA,30,80,12,27,39
1,8478055.0,Gustav Forsling,D,FLA,27,79,10,29,39
1,8478397.0,Rasmus Andersson,D,CGY,27,78,9,30,39
1,8475764.0,Cam Fowler,D,ANA,32,81,5,34,39
1,8476792.0,Torey Krug,D,STL,32,77,4,35,39
1,8482089.0,Jake Neighbours,L,STL,21,77,27,11,38
1,8482149.0,Cole Perfetti,C,WPG,21,71,19,19,38
1,8476881.0,Tomas Hertl,C,SJS,30,54,17,21,38
1,8474037.0,James van Riemsdyk,L,BOS,34,71,11,27,38
1,8482105.0,Jake Sanderson,D,OTT,21,79,10,28,38
1,8475314.0,Anders Lee,L,NYI,33,81,20,17,37
1,8473422.0,Nick Foligno,L,CHI,36,74,17,20,37
1,8482665.0,Matty Beniers,C,SEA,21,77,15,22,37
1,8476483.0,Rickard Rakell,R,PIT,30,70,15,22,37
1,8476474.0,Stefan Noesen,R,CAR,30,81,14,23,37
1,8476480.0,Vladislav Namestnikov,C,WPG,31,78,11,26,37
1,8476958.0,Jaccob Slavin,D,CAR,29,81,6,31,37
1,8481535.0,Nils Hoglander,L,VAN,23,80,24,12,36
1,8480014.0,Gabriel Vilardi,C,WPG,24,47,22,14,36
1,8473986.0,Alex Killorn,L,ANA,34,63,18,18,36
1,8478046.0,Danton Heinen,L,BOS,28,74,17,19,36
1,8478891.0,Mason Appleton,C,WPG,27,82,14,22,36
1,8476432.0,Boone Jenner,C,CBJ,30,58,22,13,35
1,8477450.0,Jason Dickinson,C,CHI,28,82,22,13,35
1,8476880.0,Tom Wilson,R,WSH,29,74,18,17,35
1,8482699.0,Dylan Guenther,R,ARI,20,45,18,17,35
1,8475287.0,Erik Haula,L,NJD,32,76,16,19,35
1,8476925.0,Colton Sissons,C,NSH,30,81,15,20,35
1,8482720.0,Matthew Knies,L,TOR,21,80,15,20,35
1,8482113.0,Anton Lundell,C,FLA,22,78,13,22,35
1,8476392.0,Adam Lowry,C,WPG,30,81,12,23,35
1,8478472.0,Mathieu Joseph,R,OTT,26,72,11,24,35
1,8475799.0,Nino Niederreiter,R,WPG,31,77,18,16,34
1,8477476.0,Artturi Lehkonen,L,COL,28,45,16,18,34
1,8481618.0,Alex Newhook,C,MTL,22,55,15,19,34
1,8482159.0,Tyson Foerster,R,PHI,21,77,20,13,33
1,8482110.0,Dawson Mercer,C,NJD,22,82,20,13,33
1,8481580.0,Connor McMichael,C,WSH,22,80,18,15,33
1,8482055.0,Drew O'Connor,L,PIT,25,79,16,17,33
1,8477429.0,Andrew Copp,C,DET,29,79,13,20,33
1,8479992.0,Michael Rasmussen,C,DET,24,75,13,20,33
1,8476826.0,Yanni Gourde,C,SEA,32,80,11,22,33
1,8476419.0,Jean-Gabriel Pageau,C,NYI,31,82,11,22,33
1,8477986.0,Brandon Montour,D,FLA,29,66,8,25,33
1,8482671.0,Owen Power,D,BUF,21,76,6,27,33
1,8478178.0,Darren Raddysh,D,TBL,27,82,6,27,33
1,8480145.0,Neal Pionk,D,WPG,28,82,5,28,33
1,8474565.0,Alex Pietrangelo,D,VGK,33,64,4,29,33
1,8478057.0,Dakota Joshua,C,VAN,27,63,18,14,32
1,8477952.0,Robby Fabbri,C,DET,27,68,18,14,32
1,8476921.0,Jordan Martinook,L,CAR,31,82,14,18,32
1,8475722.0,Jason Zucker,L,ARI,31,69,14,18,32
1,8482705.0,Cole Sillinger,C,CBJ,20,77,13,19,32
1,8477498.0,Darnell Nurse,D,EDM,28,81,10,22,32
1,8475171.0,Oliver Ekman-Larsson,D,FLA,32,80,9,23,32
1,8478500.0,Ivan Provorov,D,CBJ,26,82,5,27,32
1,8474151.0,Ryan McDonagh,D,NSH,34,74,3,29,32
1,8474870.0,Tyler Johnson,C,CHI,33,67,17,14,31
1,8475848.0,Brendan Gallagher,R,MTL,31,77,16,15,31
1,8474189.0,Lars Eller,C,PIT,34,82,15,16,31
1,8476292.0,Ondrej Palat,L,NJD,32,71,11,20,31
1,8481624.0,Ilya Mikheyev,R,VAN,29,78,11,20,31
1,8478458.0,Jack Roslovic,C,CBJ,26,59,9,22,31
1,8477495.0,Seth Jones,D,CHI,29,67,8,23,31
1,8476979.0,Erik Gustafsson,D,NYR,31,76,6,25,31
1,8476331.0,Dylan DeMelo,D,WPG,30,82,3,28,31
1,8480064.0,Josh Norris,C,OTT,24,50,16,14,30
1,8475768.0,Jaden Schwartz,C,SEA,31,62,13,17,30
1,8480802.0,Ryan McLeod,C,EDM,24,81,12,18,30
1,8477987.0,Ryan Donato,C,CHI,27,78,12,18,30
1,8475149.0,Marcus Johansson,L,MIN,33,78,11,19,30
1,8481546.0,Cam York,D,PHI,22,82,10,20,30
1,8477505.0,Alex Wennberg,C,SEA,29,79,10,20,30
1,8473533.0,Jordan Staal,C,CAR,35,80,10,20,30
1,8478469.0,Thomas Chabot,D,OTT,26,51,9,21,30
1,8480817.0,K'Andre Miller,D,NYR,23,80,8,22,30
1,8477969.0,Marcus Pettersson,D,PIT,27,82,4,26,30
1,8475753.0,Justin Faulk,D,STL,31,60,2,28,30
1,8479619.0,Michael Carcone,L,ARI,27,74,21,8,29
1,8482475.0,Yegor Chinakhov,R,CBJ,22,53,16,13,29
1,8480459.0,Pius Suter,C,VAN,27,67,14,15,29
1,8475763.0,Kevin Hayes,R,STL,31,79,13,16,29
1,8481524.0,Bowen  Byram,D,COL,22,73,11,18,29
1,8480336.0,Sean Walker,D,PHI,29,81,10,19,29
1,8481656.0,Aliaksei Protas,C,WSH,22,78,6,23,29
1,8474574.0,Tyler Myers,D,VAN,33,77,5,24,29
1,8482125.0,Alexander Holtz,R,NJD,21,82,16,12,28
1,8480813.0,Joe Veleno,C,DET,23,80,12,16,28
1,8480068.0,Ryan Poehling,C,PHI,24,77,11,17,28
1,8478413.0,Jordan Greenway,L,BUF,26,67,10,18,28
1,8478115.0,Pierre Engvall,L,NYI,27,74,10,18,28
1,8476923.0,Damon Severson,D,CBJ,29,67,9,19,28
1,8476931.0,Jake McCabe,D,TOR,30,73,8,20,28
1,8478133.0,Jake Evans,C,MTL,27,82,7,21,28
1,8476927.0,Teddy Blueger,C,VAN,29,68,6,22,28
1,8475181.0,Nick Leddy,D,STL,32,82,3,25,28
1,8478020.0,Michael Amadio,R,VGK,27,73,14,13,27
1,8481582.0,Nicholas Robertson,L,TOR,22,56,14,13,27
1,8480185.0,Eetu Luostarinen,C,FLA,25,82,12,15,27
1,8480829.0,Jesperi Kotkaniemi,C,CAR,23,79,12,15,27
1,8480113.0,Alex Iafallo,L,WPG,30,82,11,16,27
1,8480748.0,Kiefer Sherwood,L,NSH,28,68,10,17,27
1,8481596.0,Shane Pinto,C,OTT,23,41,9,18,27
1,8480835.0,Jack Drury,C,CAR,23,74,8,19,27
1,8476463.0,Jonas Brodin,D,MIN,30,62,7,20,27
1,8482092.0,Ridly Greig,C,OTT,21,72,13,13,26
1,8476918.0,Jimmy Vesey,L,NYR,30,80,13,13,26
1,8476892.0,Colton Parayko,D,STL,30,82,10,16,26
1,8479941.0,Justin Danforth,R,CBJ,30,71,10,16,26
1,8477425.0,Miles Wood,L,COL,28,74,9,17,26
1,8480855.0,Jack McBain,C,ARI,23,67,8,18,26
1,8474602.0,Justin Schultz,D,SEA,33,70,7,19,26
1,8475790.0,Erik Gudbranson,D,CBJ,31,78,6,20,26
1,8475200.0,Dmitry Orlov,D,CAR,32,82,6,20,26
1,8482655.0,J.J. Moser,D,ARI,23,80,5,21,26
1,8476902.0,Esa Lindell,D,DAL,29,82,5,21,26
1,8475188.0,Brayden McNabb,D,VGK,32,82,4,22,26
1,8476854.0,Hampus Lindholm,D,BOS,29,73,3,23,26
1,8474673.0,TJ Brodie,D,TOR,33,78,1,25,26
1,8476469.0,Joel Armia,R,MTL,30,66,17,8,25
1,8481601.0,Simon Holmstrom,R,NYI,22,75,15,10,25
1,8481186.0,Logan O'Connor,R,COL,27,57,13,12,25
1,8471698.0,T.J. Oshie,R,WSH,37,52,12,13,25
1,8479591.0,Michael Eyssimont,C,TBL,27,81,11,14,25
1,8476312.0,Josh Manson,D,COL,32,76,8,17,25
1,8478136.0,Jake Middleton,D,MIN,27,80,7,18,25
1,8481032.0,Paul Cotter,C,VGK,24,76,7,18,25
1,8477508.0,Curtis Lazar,C,NJD,28,71,7,18,25
1,8482245.0,Artem Zub,D,OTT,28,69,5,20,25
1,8478911.0,Matt Roy,D,LAK,28,81,5,20,25
1,8476879.0,Cody Ceci,D,EDM,30,79,5,20,25
1,8478507.0,John Marino,D,NJD,26,75,4,21,25
1,8478840.0,Will Borgen,D,SEA,27,82,3,22,25
1,8482259.0,Bobby McMann,C,TOR,27,56,15,9,24
1,8481604.0,Pavel Dorofeyev,L,VGK,23,47,13,11,24
1,8478043.0,Sam Lafferty,C,VAN,28,79,13,11,24
1,8479351.0,Sam Steel,C,DAL,25,77,9,15,24
1,8475193.0,Tomas Tatar,L,SEA,33,70,9,15,24
1,8475744.0,Evgeny Kuznetsov,C,WSH,31,63,8,16,24
1,8475233.0,David Savard,D,MTL,33,60,6,18,24
1,8476422.0,Mike Reilly,D,NYI,30,61,6,18,24
1,8474031.0,Kevin Shattenkirk,D,BOS,34,61,6,18,24
